Where do you live?	I live in Pasadena.
So why can't I have pizza for dinner?	Because you need variety.
What's "variety?	Different things not the same thing all the time.
You mean, like a pepperoni pizza instead of a cheese pizza?	No, I mean a salad instead of a pizza.
We need to save money.	Why do we need to save money?
Because we need to buy a house.	But a house is so expensive.
That's why we need to save money.	How much do we need to save?
We need to save enough for a down payment.	How much is that?
That's about $30,000.	Thirty thousand dollars! That will take forever.
Not if we save every penny.	Okay. Here's seven pennies.
The ocean is so big.	You can't see the end of it.
It goes on and on forever.	And it's deep, too.
I think it's five miles deep.	Are there fish at the bottom?
There are fish at the top and the bottom.	Are there more fish or more people?
I think there are more fish.	I hope so. I love to eat fish.
I'm upset with my mom.	Why is that?
I warned her about her new boyfriend. She didn't listen to me.	What happened?
I gave her $1,000 for her birthday. I told her to spend it on herself.	That was very nice of you.
I found out that she gave it to her new boyfriend.	Why did she do that?
He said he would buy her a nice ring.	What's wrong with that?
He went to Las Vegas. He lost it all gambling.	I hope your mom broke up with him.
Do animals talk to each other?	Of course they talk to each other.
What do they talk about?	They talk about other animals.
What else do they talk about?	They talk about food and the weather.
Do they talk about us?	Of course they talk about us.
What do they say about us?	They say that we are funny-looking.
Ha! We're not funny-looking; animals are funny-looking.	We're funny-looking because we wear clothes.
I have to clean the house.	Yes, it's very dirty.
You can help me.	Why me?
Because you helped make it dirty.	What do you want me to do?
I want you to clean the bathroom.	Oh, that's easy.
Clean the sink, the tub, the counter, and the toilet.	That's a lot of work.
Tell me when you finish.	I don't think so. You'll just give me more work.
You're watching too much TV.	What do you mean?
I mean you're wasting your life.	I'm having fun.
You're sitting there with your mouth open.	Who cares?
I care. Do something.	Okay. I did something.
What did you do?	I turned up the volume.
That's not what I meant by "do something."	Will you do something? Leave me alone.
Did you write a letter to grandma?	Yes, I did.
Did you tell her about school?	I told her that school is fun.
Did you put the letter in an envelope?	Yes, and I sealed the envelope.
Did you put a stamp on the envelope?	I couldn't find any stamps.
They're in the kitchen drawer.	Okay. I just put a stamp on the envelope.
Give me the envelope, and I'll mail it for you.	When is grandma going to learn about e-mail?
Why are you yawning?	I'm sleepy.
Why don't you go to bed?	I want to watch this TV show.
Maybe you should record it.	The tape recorder is broken.
Then you should watch the rerun.	Why? I'm watching the original.
But you'll be asleep in about one minute.	I'm just yawning because the commercials are on.
Okay. I'll tell you how the show ends.	Zzz.
It's Sunday.	So?
You know what that means.	I forgot.
Sunday means we go to church.	Oh, yeah.
Put on a coat and tie.	Why?
To show respect to God and others.	I'm glad Sunday is only once a week.
I hope God didn't hear that.	He'll forgive me.
Did you feed the cat?	I'll do that in a minute.
The cat is meowing. He's hungry.	Okay. I'll feed him right now.
You shouldn't make him wait.	I was doing my homework.
The cat doesn't care about your homework.	The cat doesn't care about anything.
That's the way cats are.	All they think about is themselves.
Maybe we should get rid of him.	Of course not! He's family.
I hate shaving.	Me too.
I just cut myself again.	Did you use a new blade?
It doesn't matter. Old blades cut, new blades cut.	Maybe you should use an electric shaver.
They make a lot of noise, but they don't give a close shave.	Maybe you should stop shaving.
And grow a beard?	Sure. Why not?
Because food and other stuff sticks in my beard.	Hmm. Here's an idea. Put cream on your face and have the cat lick it off.
Excuse me.	Yes?
Are you reading this paper?	Oh, no. Help yourself.
I asked because the paper is sitting next to you.	Thank you. That's polite of you to ask.
Some people would just pick it up.	Yes, I know. Some people are rude.
I always try to be polite.	So do I.
The world needs more polite people like us.	I agree 100 percent.
Mom, I want a puppy.	Let me think about it.
Why do you have to think about it?	Because a puppy costs money.
No, it doesn't. Puppies are free.	Yes, but a puppy needs shots.
Shots for what?	So it won't get sick. Just like you get shots.
I hate shots.	And a puppy eats food. Food costs money.
No problem. I'll give him food off my plate.	Oh, no you don't. Puppies don't eat vegetables.
Look at all these kittens!	How many are there?
Eight.	They're all so cute.
Yes, but I can't keep them.	What are you going to do with them?
I'm going to give them away. Do you want one?	Yes, I would love one.
Which one do you want?	That one. The one that's all black.
Yes, I like that one, too.	I'll call him Blacky.
My parents go to church every Sunday.	They trust in God.
They hope they will go to heaven.	They probably will.
But no one knows for sure.	That's for sure.
No one knows what happens after we die.	If we are good, we will be happy in heaven with God.
That's what many people believe.	If we are bad, we will be unhappy forever in hell.
I don't want to go to hell.	Let's go to church with your parents on Sunday.
My husband died.	I'm sorry for you.
Thank you.	When did he die?
A couple of months ago.	You still miss him.
Yes, but I talk to him almost every day.	When you go to church?
No, when I call him on his cell phone.	What do you mean?
I buried him with his cell phone.	What will you do when the battery dies?
Today is Friday the thirteenth.	That's a bad day.
It's supposed to be unlucky.	You're supposed to stay home all day.
That's what I do.	My friend stayed in a hotel on Friday the thirteenth.
That was a mistake.	He stayed on the thirteenth floor.
What happened?	Someone stole his laptop.
He was asking for it.	He learned his lesson. He's home today.
Do you really love me?	Of course.
Prove it.	How can I prove it?
Take me to dinner.	That's it? That's all I have to do?
Take me to a nice restaurant, not to McDonald's.	But a nice restaurant costs money.
Yes, and you have to make a reservation.	That's such a hassle.
I knew you didn't love me.	Okay, okay! I'll make a reservation right now.
My parents are divorced.	So are mine.
Why did your parents get divorced?	My father found a new girlfriend.
That's too bad.	My mother was hurt and angry.
She had good reason. What did she do?	She told him to drop his girlfriend.
What did your father do?	He moved out of our house.
I guess he really liked his new girlfriend.	Yes, but she left him a year later.
My grandma's apartment smells funny.	So does mine.
I think it's an old people's smell.	Really?
Yes. I think when you get old, you begin to smell.	Like fruit that is too ripe?
Yes, just like fruit that is too ripe.	But the smell is different.
Yes, old people don't smell like fruit.	No, they smell like a thrift shop.
Yes, a thrift shop has that same smell.	Yes, an old smell.
The price of stamps goes up and up.	I think stamps used to cost a penny.
That was a long time ago.	It was before I was born.
Now a stamp is 42 cents.	But in May it will be 44 cents.
Have you ever lost a letter in the mail?	No, I haven't.
Neither have I.	So, they do a good job for the money.
Yes, they do.	Maybe we shouldn't complain.
A button came off my shirt.	What are you going to do?
First, I have to find the button.	Where did you lose it?
I have no idea.	A button is hard to find. Did you look in your pant cuffs?
That's a good idea.	I found a button in my pant cuffs one time.
Let me look. No, it's not there.	Many shirts come with an extra button.
You're right. This one does have an extra button.	Now all you have to do is sew it on.
I have to go to the bathroom.	You drink too much coffee.
But I love coffee.	Well, it's your life.
You eat too much chocolate.	I don't think so.
Have you looked in the mirror?	Do you think I'm getting fat?
I didn't say that.	What did you say?
I said I have to go to the bathroom.	That's what I thought you said.
Did you do the laundry?	Yes, I did.
What did you wash?	I washed the sheets and towels.
What about the pillowcases?	Yes, I took them off the pillows and washed them.
Did you dry everything in the dryer?	Yes, I dried everything in the dryer.
Then what did you do?	I folded all the towels.
Did you put the sheets on the beds?	Yes, and I put the pillowcases on the pillows.
Do you listen to the radio?	I listen day and night.
What do you listen to?	Mostly talk radio.
What's that?	People talk about current events.
What do they say?	They say they want change.
What kind of change?	They want tax cuts.
Why do they want tax cuts?	Because tax cuts will save them money.
Mom, I'm hungry.	Look in the fridge.
I'm looking. There's nothing to eat.	Are you sure?
It's almost empty.	I went to the market yesterday.
I don't see anything.	I bought lots of oranges and apples.
I don't want fruit. I want something tasty.	Eat the fruit. It's good for you.
Next time you go to the market, let me go with you.	No, thank you. All you want to eat are hot dogs and candy bars.
What is there to eat?	I don't know. Look in the fridge.
I think I'll make a sandwich.	What kind?
A ham sandwich.	The bread is in the cabinet.
Where's the mustard?	It's in the fridge, I think.
Oh, yes, here it is. Do you want a sandwich?	Yes, that sounds nice.
How about some potato chips?	Yes. And a pickle, if we have any.
It's time for your bath, young lady.	But, Mom, I'm not dirty.
You need a bath every day.	Why?
Because you don't want to smell bad.	I don't smell bad.
That's what you think.	If I smelled bad, I could smell me.
I can smell you.	I can smell you, too.
That's my perfume.	When can I wear perfume?
Something's wrong with my computer.	Exactly what?
All I get is a black screen.	What's the matter?
I think I know, because this happened before.	What happened before?
My hard drive crashed.	Oh, no. That's bad news.
It sure is, but I'm going to call HP first, just to make sure.	Will you lose all your files?
No, I always back up my files.	You're smart.
I called HP about my computer.	What did they say?
They said I need a new hard drive.	That's too bad. How much is a new one?
It's not too much, only about $85.	Plus installation?
No, my hard drive is easy to remove and replace.	Really?
Yes, it's just a couple of screws.	That's nice.
It's a lot better than paying someone $60.	If my hard drive crashes, I'll just call you.
What's your email address?	It's bluedog123.
Bluedog123. Are you sure that's all?	Yes.
No. That's incomplete.	What do you mean?
What's your mailing address?	456 Cherry Drive, Pasadena, CA 91170.
That's correct.	So what's the problem?
Bluedog123 is just the street. You have to give me the city, state, and ZIP code.	Oh, I get it. My email address is bluedog123@yahoo.com.
I'm going to take a nap.	You should unplug the phone.
That's a good idea.	Do you want me to wake you in an hour?
No, thanks. Just let me sleep until I wake up.	I'll start dinner at 6:00.
Okay. I think I'll be awake by then.	If not, your nose will wake you up.
You mean I will smell the food cooking?	You might even dream about dinner.
I don't think I'm going to dream about anything. I'm really tired.	Have a nice nap.
That was a nice funeral.	Yes, dad, it was.
The son gave a nice speech about his father.	It was long, too.
I think it was about 45 minutes long.	But it went by fast. It was interesting.
I liked it.	I'll give you a speech like that, too.
Do you think anyone will come to my funeral?	Of course.
I think only the family will be there.	You have lots of friends. They will be there, too!
Yikes! What was that noise?	I had to blow my nose.
Did you have to blow right next to the phone?	Did you hear that?
Of course I heard that. I thought a plane had crashed into your house.	It wasn't that loud.
I will blow my nose sometime for you, and you'll see.	Okay. I'll take your word for it.
I thought you had an elephant in your house.	You're funny.
What did you say? I think I've gone deaf.	I'm going into the bathroom to blow my nose. I'll be right back.
I have lots of friends.	Really? How many do you have?
I don't know, maybe one hundred.	That is a lot of friends. Do you have a best friend?
Of course. I have lots of best friends.	How many best friends do you have?
I think about twenty-five.	Hmm. I have only one best friend.
I feel sorry for you.	I have only a few friends.
You must be lonely. I will share my friends with you.	That's very nice of you.
Don't you ever cheat on me.	Why would I do that?
Because men like to cheat.	Some men do, but not me.
I'm watching you.	I'm an open book. Watch me all you want.
If I catch you, you'll be sorry.	You won't catch me, because I love you. I'm not a cheater.
I will poke your eyes out. 	I don't want any other woman.
I will chop your toes off, one by one.	Honey, please. You're the only woman for me, forever. I swear it.
I hate to go outside.	Me too.
Why do you hate to go outside?	I meet too many jerks.
I agree.	This city is full of jerks.
Rude people are everywhere.	But what can you do?
You can yell at them.	And they will yell back at you.
Yelling doesn't do any good.	No. The best thing to do is just stay home.
Will you look at this form?	Are you having problems with it?
I don't understand some things.	Let me help you.
What does "MI" mean?	"MI" stands for Middle Initial.
What does "MM/DD/YY" mean?	That means Month/Day/Year. Use numbers.
I don't understand.	For example, if your birth date is January 12, 1987, write 01/12/87.
Oh. That's simple enough.	Always print clearly, and fill in the bubbles completely.
Let's go to the animal shelter.	What do you want to do?
I want to get a puppy for my son.	That will make him so happy.
I'll get him one of those little dogs. 	One that won't grow up too big.
And eat too much.	Do you know which one he would like?
Oh, yes, I took him there yesterday. He showed me one that he really liked.	I bet you had to drag him away.
He wanted to take it home yesterday.	I wonder what he'll name it.
What's the weather like?	I don't know. I just woke up.
Why don't you look outside?	Okay. It looks like rain.
Why do you say that?	The sky is gray.
Is it raining right now?	No.
How do you know?	The street isn't wet.
I have to go shopping today.	You'd better take an umbrella.
I can't believe how hot it is.	It's not even noon yet.
That means it will get hotter.	I am dying from the heat.
Turn on the air conditioner.	It doesn't work.
What happened?	I don't know.
Did you call the repairman?	Of course.
When is he coming?	He's busy. He said next week.
I'll be glad when winter comes.	Why is that?
Because I love the snow.	Yes, the snow is fun.
Last year we made a big snowman.	How big was it?
It was seven feet tall.	How long did it take?
It took us all day.	Did you give him a nose?
Of course. We gave him a big carrot for a nose.	Let me help you make one this year.
I'm going to the bank.	What do you need to do?
I need to withdraw some money.	How are you going to do that?
I'll just use the ATM.	What's that?
It's the Automatic Teller Machine.	It gives you money?
I just insert my debit card into the machine.	And it gives you money?
Well, it gives me money, but it's my own money.	Oh. What good is that? I thought it gave you free money.
Did you put the blue bin out on the street?	Oh, no. I forgot.
Well, you'd better take it out front.	What time does the recycle truck come by?
It usually gets here at noon on Tuesday, which is tomorrow.	I'll just take it out to the street tomorrow morning.
Oh, no, you don't.	What do you mean?
Every morning you get up late and rush off to work late.	Do you think I'll forget to do it?
You'll remember to do it, but you won't have time to do it.	Okay, I'll take it out front right now.
Are you ready?	Ready for what?
Ready for the big switch.	What are you talking about?
The nation is switching to digital TV.	Oh. Of course I'm ready.
Did you buy the converter?	No, I don't need a converter because I bought a digital TV.
How much was that?	It was only about $120 for a 13-inch screen.
Does it pick up any digital channels?	Oh, yes. I get six Korean channels but nothing in English!
People are funny.	They sure are.
Did you hear about the pilot?	The one that stole a small plane?
Yes, he stole a plane in Canada and flew into the U.S.	Did they catch him?
Yes. After two U.S. fighter jets followed him for an hour, he landed on a highway.	Did he crash?
No, he just landed the plane and walked to a restaurant.	Did the cops find out why he flew into the U.S.?
His life sucked. He was hoping a fighter jet would shoot him down.	Poor guy.
The police need our help finding a robber.	How do you know?
The TV news is reporting a bank robbery.	Do they know what the robber looks like?
Yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.	What race is he?
They didn't say.	The TV news doesn't tell us the race anymore.
Of course not. That would be racist.	But how can we identify someone if we don't know their race?
Don't ask me.	Then they also shouldn't tell us if the robber is male or female, because that is sexist.
Don't wipe your nose on your sleeve.	But I don't have a tissue.
Then go find a tissue in the bathroom.	I didn't have time to get one from there.
Your sleeves are not tissues.	But Mom, all my friends use their sleeves.
That doesn't make it right.	I saw Dad wipe his nose on his sleeve yesterday.
I will talk to your father about that.	I bet Dad did it all the time when he was my age.
Your daddy was a good little boy.	How do you know? Were you his mommy, too?
I'm worried.	Worried about what?
I'm getting married.	You should be happy, not worried.
I am happy, but marriage is a lot of responsibility.	Yes, you have to take care of your wife.
And I have to take care of our children.	Are you going to start a family?
Yes. We want to have a little boy and a little girl.	That sounds wonderful.
Except we can't afford it!	No wonder you're worried.
I don't get art.	Or artists.
They're in a different world.	I saw a painting of a jar that was full of pencils.
The artist said the jar was both full and empty.	But it was full of pencils! How could he say it was empty?
Artists see things differently.	Did you ever see anything that Picasso painted?
Of course! He's world famous.	Did he ever take art lessons?
I can't believe it. I drew paintings like that in third grade.	Where are they? Maybe they are worth millions.
What's the point?	The point of what?
Of living.	Who knows? You live, and then you die.
We must be here for some reason.	Maybe we're here to have fun.
Then why aren't I having fun?	Because you're thinking too much.
So I should stop thinking?	Stop thinking about what the point is.
Okay. I'll start thinking about having some fun.	Just be patient. Fun doesn't come along every five minutes.
Beer is a powerful drug.	So are cigarettes.
Which would you prefer?	What do you mean?
When you die and go to heaven, they will offer you beer or cigarettes.	I could pick only one or the other?
Yes. Nothing's perfect, not even in heaven.	Boy, that's a tough one.
What's so tough about it? Of course, I would pick cigarettes.	But cigarettes taste much better when you have a cold beer.
Well, you can't have everything.	I don't think I want to go to your heaven.
My pants have a hole in the front pocket.	You shouldn't carry pens in your pocket.
Yesterday a pen fell through my pants onto my shoe.	Lucky for you it wasn't a sharp knife.
Who carries a sharp knife in their pocket?	Criminals, of course.
Anyway, I have to fix the hole.	You can sew it up or use an iron-on patch.
Tell me about this patch.	The patch has glue. The hot iron melts the glue so the patch sticks on.
That sounds a lot easier than sewing.	It is. But after about ten washings, the glue washes off.
Do you know any good jokes?	I can't remember jokes.
Neither can I.	They go in one ear and out the other.
Who makes up all these jokes?	Who knows? But there must be a hundred new ones every day.
Yes, just in English alone.	I wonder if every language has jokes.
Of course! People everywhere like good jokes.	What do you think people joke about the most?
I think most jokes are about women.	Oh, really? I think most jokes are about men!
You're very lucky.	Why do you say that?
You speak two languages.	Well, my English isn't perfect.
No one speaks perfect English.	Maybe I will be the first!
I've been thinking about learning Spanish.	Spanish is easy. I'll be happy to teach you.
How long will it take me to learn?	I think it will only take you a year or two.
How soon can we begin?	Ahora! That means right now.
Do you know what today is?	Yes, it's April 22.
It's more than just a date.	Is it your birthday or anniversary?
No, it's Earth Day.	What's that?
It's a yearly reminder to take care of our planet.	Oh, you mean like reuse things and recycle stuff?
Yes. We need to think green, save water, and stop using plastic bags.	How about if I take shorter showers?
That's a good idea, because showers waste a lot of water.	From now on I'll spend only 20 minutes in the shower.
Poetry sucks.	I don't know anyone who likes it.
Some of it is okay, I guess.	Yes, the poems that rhyme and are easy to remember.
Like "One, two, buckle my shoe."	But people still write poems.
No one makes any money at it.	Shakespeare was a poet.
Did he get rich from his poetry?	Probably not.
Poems are a little bit like songs.	Yes, but songs have music. Without music, songs would suck, too.
How smart are you?	I don't know. I think I'm average.
Did you ever take an IQ test?	No, I never did. All I know is that I got A's and B's in school.
I wish I was really smart.	Don't be ridiculous.
What do you mean?	If you're going to make a wish, wish that you were really rich or famous.
Don't you ever wonder what it's like to be super-smart?	It must be very lonely.
Why's that?	Because if you're super-smart, no one understands what you're saying.
I missed the TV news last night. What was on?	Nothing that would pass as news.
What's the weather going to be like this weekend?	I don't know. Whenever the weather comes on, I switch channels.
What was the lead story on the news?	Some actress was in court for driving without a license.
What was the second story?	Some actor married a woman young enough to be his daughter.
What was the third story?	A bull chased a man in a supermarket.
Wasn't there anything about Octo-Mom?	Of course. She's going to hire a nanny for her eight infants.
What are you going to do about your death?	Well, mostly I'll try to avoid it.
I mean, are you going to get buried or cremated?	My wife and I will be cremated.
Are you going to be buried next to each other?	Oh, no. Our ashes will be shaken into the ocean.
You're not going to be buried?	A coffin costs too much and takes up too much space.
Yes, but it will be in a cemetery where your children can visit you.	Children seldom visit their parents in a cemetery.
A: That's true. A cemetery is for dead people, not living people.
A: We figure our kids can visit us whenever they go to the beach.
Did you wipe your feet? 	Yes, of course I wiped my feet.
Then why is there mud on the carpet?	I don't know. It's not my mud.
Well, someone brought it into the house.	Look at the bottom of my shoes they're clean.
Of course they're clean. You left all the mud on the carpet.	Okay, I'll get the vacuum cleaner.
Don't vacuum it now.	Don't you want me to clean up the mud?
Wait till it dries. It will be easier to vacuum.	Next time I will be more careful.
What are you getting for your mom?	What are you talking about?
Sunday is Mother's Day.	This Sunday?
Of course. It's all over the news.	I thought it was next Sunday.
Well, you'd better get her something.	I'll get her a nice card.
Is that it?	Yes. That's all I ever give her.
She raised you, and all you ever give her is a card?	It's okay. She knows that I love her.
I don't like our flag.	What's the matter with it?
It's too much like other flags.	Yes, a lot of flags have stripes.
A flag should be pretty.	What should our flag look like?
It should have a pretty woman on it.	That's ridiculous!
You don't like pretty women?	Of course I do. But not on our flag!
Every nation should have a pretty woman on their flag.	You can't go to war carrying a flag with a woman on it!
I had a busy morning.	What did you do?
I watered all the plants.	You have a lot of plants.
Then I did my laundry.	That takes some time.
I took the dog for a walk.	I'll bet he enjoyed his walk.
I vacuumed the entire house.	That's a lot of work.
And then I made lunch.	I'll bet you were hungry!
I don't have long distance service with my home phone.	So how do you make long distance calls?
I use a calling card.	Where do you get that?
I buy it at the dollar store.	How much is it?
It's one dollar for 100 minutes.	That's only a penny a minute!
It's a great price. But you have to dial a lot of numbers.	How many?
First you dial seven numbers, then ten numbers, then ten more numbers.	Yikes. I think I'll keep my long distance service.
Do you go to college?	Yes, I do.
What college do you go to?	I go to Pasadena City College.
Do you like it?	Oh, yes, I really like it.
Why do you like it?	Because it has great teachers.
What else?	I like all my classmates, too.
Anything else?	Yes. It's not expensive!
I lost my new pen.	Where did you lose it?
I don't know.	When did you lose it?
I think I lost it today. I used it yesterday.	Did you check all your pockets?
I checked all my pockets.	Did you look in your desk?
Yes. It isn't there, either.	It's probably around somewhere.
Oh, well, it only cost me a dollar.	Only a dollar? Don't even look for it.
Gravity is very important.	What is gravity?
It's the force that pulls everything down.	I don't understand.
If you pour water into a glass, the water goes down into the glass.	Of course it does.
Without gravity, the water would go up.	You're joking.
Without gravity, you would go up.	What do you mean?
You would float into the sky like a balloon.	That would be fun!
I can't read my book.	Turn on the light.
The light is on.	Open the book.
The book is open.	See an eye doctor.
That's what I need to do.	He'll give you a prescription for glasses.
I'll make an appointment tomorrow.	I'll get the yellow pages for an eye doctor.
Read the phone number to me.	I'll read it very loud, in case your hearing is getting bad, too.
What do you need for school?	I need pencils.
Anything else?	I need a notebook.
Do you need a pen?	No. I already have a pen.
Do you need a calculator?	No. The teacher doesn't permit calculators.
How about a dictionary?	No, we have a big dictionary in the classroom.
Well, I guess that's it.	Yes, that's all I need for now.
I like this magazine.	So do I.
I read it once, and I subscribed.	It gives you all the news.
All the news in only 50 pages.	I like the political cartoons.
I like the beautiful photos of the houses for sale.	I always read the film reviews.
I never miss the food and drink section.	I gave a subscription to my parents.
Me too. They canceled their other news magazines.	So did mine!
My pen is out of ink.	Shake it a couple of times.
I shook it. There is no more ink.	You can borrow mine.
Thank you. I'll buy a new one tomorrow.	What were you doing?
I was writing a letter.	Who were you writing to?
It's to my mom.	Tell her I said hello.
Okay. I'll return your pen when I'm done.	Take your time.
Have you done your homework?	Not yet.
Then why are you watching TV?	This is my favorite show.
Go do your homework.	But, mom!
You can watch TV after you do your homework.	But the show will be over.
There will be another show next week.	Please?
You know the rules.	I hate the rules! I can't wait till I grow up.
I can't wait until I graduate.	Me too.
No more homework.	I hate homework.
Are you going to college?	I can't afford it.
Me neither.	So what are you going to do?
I'm joining the army.	You're kidding. You might get killed.
I don't think so. After I finish, I'll have enough money to go to college.	That's not a bad idea.
What is your major?	English.
What are you going to do with an English major?	I'm going to be a teacher.
High school or middle school?	High school.
I teach high school English.	I didn't know that.
I started teaching five years ago.	How do you like it?
Do you see all this gray hair? It was totally black five years ago.	Maybe I'll teach middle school.
Parking at school is impossible.	I'll say.
I drove around for half an hour.	Did you find a spot?
I found a spot, but someone cut in and took it from me.	Did you yell at them?
Yes, I did.	And?
And he yelled back at me.	How rude.
But I got lucky a few minutes later.	You have to be lucky to find a parking space.
This is a huge library.	Yes, it has lots of rooms and lots of space.
And lots of books.	And lots of thieves.
What do you mean?	I mean, keep your belongings close to you.
The only thing in my backpack is used books.	But thieves don't know that.
They might think that I've got an iPod or laptop in there.	Now you're thinking.
You'd think a library would be safe from thieves.	Not even a church is safe from thieves.
How good is your math?	I can add two and two.
So you're not very good at math?	I'm terrible at math.
Well, I need some help.	With what?
I'm taking a math course in school.	Well, you should ask your teacher or your classmates for help.
I can't do that.	Why not?
They might think I'm stupid.	They're not going to think that! They'll be glad to help you.
Do you believe in God?	Of course.
Do you pray to God?	Occasionally.
When's that?	When I need something.
Like what?	Well, if I have a big test at school.
Does God answer your prayers?	Yes, I've passed all my tests.
Do you ever pray for money?	Not yet. I won't need to do that until I graduate from high school.
The cops finally found the husband.	What husband?
The husband of the driver who ran over two college students at 3 a.m.	Oh, yeah. The girl died instantly, and the boy is still in the hospital.
The husband said he tried to help the boy.	Yes, he pushed him off the hood of the car.
No, he said he gently placed the boy on the street.	So what? They still drove off.
The husband said a fire department was nearby.	So what? Did he dial 911?
He said he was thinking about it, but he didn't get around to it.	He didn't get around to turning himself in, either.
I don't like riding the bus.	Why not?
The seats and windows are dirty.	Don't they clean the bus every night?
I think they do.	You should bring some wipes with you.
That's a good idea.	Then you can wipe your seat and window.
People will think I'm strange.	Who cares? Everyone is strange.
That's for sure.	Don't worry about what people think.
I don't like riding the bus.	Why not?
Number one, it's too slow.	You're right. A car is faster.
Number two, it's usually late.	You're right. The buses are never on time.
Number three, it doesn't run 24 hours.	You're right. Buses don't run late at night.
Number four, it's too crowded.	You're right. You have to stand in the aisle.
Number five, it's unsafe.	You're right. Bad guys might rob you.
We had a problem at school.	What was the problem?
Someone cut the tires.	What tires?
The tires on the cars.	Where were the cars?
They were in the student parking lot.	How many tires were cut?
One or two tires were cut on each car.	How many cars?
Eleven cars.	That's terrible. I hope they catch the person.
Life isn't fair.	It sure isn't.
I got a ticket yesterday.	What for?
I was crossing the street.	Were you in a crosswalk?
Yes, but the red hand was blinking.	So? That's a ticket?
Yes, it's a $140 ticket.	That's not right!
When I started to cross the street, the white walk sign was blinking.	You need to walk faster.
You're driving too fast.	Why do you say that?
The speed limit is 65.	I know that.
But you're doing 75.	So is everyone else.
But a cop might stop you.	No, he won't. Some cars are doing 85.
So the cop will stop those cars?	Of course. He stops the fastest cars.
My friend got a ticket for doing 75.	Your friend was unlucky.
Remember to put air in your tires.	How often do I have to do that?
Once every two months.	That's a lot.
What do you mean?	That's six times a year!
Yes, and it takes about five minutes each time.	I'll try.
Check your tires or you'll get a flat.	Oh. That's not good.
No, it isn't. A flat costs you time and money.	And I don't have either.
You're driving too fast.	I'm in a hurry.
Don't ever be in a hurry.	It's not my fault. You didn't wake me up.
That's not my fault. You didn't tell me to wake you up.	Well, I meant to.
Don't ever be in a hurry when you're driving.	Why not?
Because you'll have an accident. Most accidents are because people are in a hurry.	How do you know that?
I read a lot.	I thought drunks caused most accidents.
Let's go for a ride.	Where are we going?
Into the mountains.	That sounds nice.
I want to show you my new car.	You bought a new car?
Yes. I bought a Cadillac.	A luxury car.
Luxury plus speed.	What are we waiting for?
Let me get the keys.	Let me get my camera.
I have to go to the bathroom.	Why didn't you go before we left?
I did, but I have to go again.	Well, hold on a little longer.
I think I'm going to explode.	Just hold on.
